Country Name	Country Code	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Northern Mariana Islands	MNP	676000	736000	695000	490000	502000	529000	444000	476000	459000	536000	507000	436000	389000	397000	354000	379000	341000	401000	439000	460000	479000		
Mozambique	MOZ							323000	541000	441000	470000	578000	664000	771000	1193000	1461000	1718000	1902000	2113000	1886000	1661000	1552000		
Mauritania	MRT					24000	30000																	
Mauritius	MUS	422000	487000	536000	558000	578000	656000	660000	682000	702000	719000	761000	788000	907000	930000	871000	935000	965000	965000	993000	1039000	1151000	1275000	
Malawi	MWI	192000	194000	207000	220000	254000	228000	266000	383000	424000	427000	438000	638000	735000	742000	755000	746000	767000	770000	795000	819000	805000		
Malaysia	MYS	7469000	7138000	6211000	5551000	7931000	10222000	12775000	13292000	10577000	15703000	16431000	17547000	20973000	22052000	23646000	24577000	24714000	25033000	25715000	27437000	25721000		
North America	NAC	60637000	64165000	65816000	65617000	68275000	71197000	66884000	63922000	59009000	65503000	68247000	69541000	74376000	75413000	71076000	76461000	79071000	83233000	86290000	91783000	95701000		
Namibia	NAM	272000	461000	502000	614000	635000	656000	670000	757000	695000	716000	778000	833000	929000	931000	980000	984000	1027000	1079000	1176000	1320000	1388000		
New Caledonia	NCL	86000	91000	105000	104000	100000	110000	101000	104000	102000	100000	101000	100000	103000	104000	99000	99000	112000	112000	108000	107000	114000	116000	
Niger	NER	35000	68000	68000	41000	39000	50000	52000	39000	55000	57000	58000	60000	48000	73000	66000	74000	82000	94000	123000	135000	135000		
Nigeria	NGA	656000	822000	611000	739000	776000	813000	850000	887000	924000	962000	1010000	1111000	1212000	1313000	1414000	1555000	715000	486000	600000		1255000		
Nicaragua	NIC	281000	303000	358000	406000	468000	486000	483000	472000	526000	615000	712000	749000	800000	858000	932000	1011000	1060000	1180000	1229000	1330000	1386000		
Netherlands	NLD	6574000	6580000	7841000	9312000	9874000	10003000	9500000	9595000	9181000	9646000	10012000	10739000	11008000	10104000	9921000	10883000	11300000	11680000	12783000	13925000	15007000		
Norway	NOR	2880000	2746000	2702000	3256000	3223000	3104000	3073000	3111000	3269000	3628000	3824000	4070000	4377000	4347000	4346000	4767000	4963000	4538000	4778000	4855000	5361000		
Nepal	NPL	363000	394000	422000	464000	492000	464000	361000	275000	338000	385000	375000	384000	527000	500000	510000	603000	736000	803000	798000	790000	539000		
Nauru	NRU																							
New Zealand	NZL				1475000	1596000	1780000	1900000	2026000	2086000	2325000	2353000	2390000	2434000	2371000	2373000	2435000	2511000	2473000	2629000	2772000	3039000		
OECD members	OED	358032403.2	372368671.8	389794774.6	402132033.9	413756156	439173049.8	428110836.9	431863130.7	425629237.8	449073735.5	476205000	496651000	521667000	522214000	500178000	520034000	543542000	561612000	588725300	626508600	660123000		
Oman	OMN	279000	349000	376000	424000	503000	571000	829000	817000	1039000	1195000	891000	1066000	1223000	1373000	1521000	1441000	1018000	1241000	1392000	1611000	1897000		
Other small states	OSS	9884342.711	9982779.647	11171054.08	12231887.84	13336227.21	15071837.37	15839887.16	16487307.76	16977140.81	18795696.34	20484804.71	22155675.24	24313799.44	26447048.34	26086301.68	30906850.26	26621900.63	29220642.9	31565988.92	35090354.45	37242777.61		
Pakistan	PAK	378000	369000	375000	429000	432000	557000	500000	498000	501000	648000	798000	898000	840000	823000	855000	907000	1161000	966000					
Panama	PAN	345000	362000	421000	431000	457000	484000	519000	534000	566000	621000	702000	843000	1103000	1247000	1200000	1324000	1473000	1606000	1658000	1745000	2110000		
Peru	PER	479000	584000	649000	726000	694000	800000	901000	1064000	1136000	1350000	1571000	1721000	1916000	2058000	2140000	2299000	2598000	2846000	3164000	3215000	3456000		
Philippines	PHL	1760000	2049000	2223000	2149000	2171000	1992000	1797000	1933000	1907000	2291000	2623000	2843000	3092000	3139000	3017000	3520000	3917000	4273000	4681000	4833000	5361000	5967000	
Palau	PLW	53000	69000	74000	64000	55000	58000	54000	59000	63000	89000	81000	82000	88000	81000	71000	85000	111000	120000	108000	140000	162000		
Papua New Guinea	PNG	42000	61000	66000	67000	67000	58000	54000	54000	56000	59000	69000	78000	104000	114000	121000	140000	158000	168000	174000	182000	184000		
Poland	POL	19215000	19410000	19520000	18780000	17950000	17400000	15000000	13980000	13720000	14290000	15200000	15670000	14975000	12960000	11890000	12470000	13350000	14840000	15800000	16000000	16722000		
Pre-demographic dividend	PRE	4908643.246	5699646.069	5569850.468	5623257.31	5748874.381	5970174.745	6220380.886	6860448.337	7045261.849	8341844.148	9937367.326	11072650.59	12408622.58	12836345.32	13679789.93	15187202.11	15988129.04	15968616.56	16110218.26	15893338.82	16786695.39		
Puerto Rico	PRI	3131000	3065000	3242000	3396000	3024000	3341000	3551000	3087000	3238000	3541000	3686000	3722000	3687000	3716000	3183000	3186000	3048000	3069000	3172000	3246000	3542000		
"Korea, Dem. People’s Rep."	PRK																							
Portugal	PRT	4572000	4567000	4798000	5539000	5379000	5599000	5392000	5560000	5383000	5654000	5769000	6349000	6788000	6962000	6439000	6756000	7264000	7503000	8097000	9092000	9957000		
Paraguay	PRY	438000	426000	395000	350000	269000	289000	279000	250000	268000	309000	341000	388000	416000	428000	439000	465000	524000	579000	610000	649000	1214000		
West Bank and Gaza	PSE		220000	210000	200000	300000	310000	43000	33000	37000	56000	88000	123000	264000	387000	396000	522000	449000	490000	545000	556000	432000		
Pacific island small states	PSS	544155.6597	587557.7026	613460.4652	627103.905	668065.9063	572454.1063	609766.0283	672527.1143	717544.7592	835377.6029	878773.8421	893942.4349	923978.2578	982543.0897	962452.2383	1064312.855	1121471.327	1140557.636	1123511.807	1184937.311	1259265.836		
Post-demographic dividend	PST	329275244	342980932.6	365920109.2	378040977.9	390902896.5	417740688.9	414345739.8	421881407.1	416388107.6	445265030.7	470242000	495914000	521320000	519256500	494445000	518743300	542860000	563168000	591481000	612715800	641224000		
French Polynesia	PYF	172000	164000	180000	189000	211000	252000	228000	189000	213000	212000	208000	222000	218000	196000	160000	154000	163000	169000	164000	181000	184000		
Qatar	QAT	309000	327000	333000	320000	357000	378000	376000	587000	557000	732000	913000	946000	964000	1405000	1481600	1699500	2056700	2346400	2610900	2826300	2929800		
Romania	ROU	5445000	5205000	5149000	4831000	5224000	5264000	4938000	4794000	5595000	6600000	5839000	6037000	7722000	8862000	7575000	7498000	7611000	7937000	8019000	8442000	9331000		
Russian Federation	RUS	10290000	16208000	17463000	16188000	18820000	21169000	21595000	23309000	22521000	22064000	22201000	22486000	22909000	23676000	21339000	22281000	24932000	28177000	30792000	32421000	33729000		
Rwanda	RWA						104000	113000					494000	566000	507000	502000	504000	688000	815000	864000	926000	987000		
South Asia	SAS	3809176.53	3930661.566	4161829.071	4280668.704	4529947.045	4826435.65	4486399.645	4321774.194	4966540.252	6057158.426	6366874.046	7232429.49	8067461.057	8365577.602	8065426.131	9234490.674	10392363.13	10725073.4	11682769.25	18915333.11	19195192.47		
Saudi Arabia	SAU	3325000					6585000	6727000	7511000	7332000	8599000	8037000	8620000	11531000	14757000	10897000	10850000	14179000	16332000	15772000	18260000	17994000		
Sudan	SDN	29000	38000	30000	36000	39000	38000	50000	52000	52000	61000	246000	328000	436000	440000	420000	495000	536000	575000	591000	684000	741000		
Senegal	SEN	280000	282000	314000	352000	369000	389000	396000	427000	354000	363000	769000	866000	875000	867000	810000	900000	968000	962000	1063000	963000	1006600		
Singapore	SGP	6070000	6048000	5894000	5122000	5604000	6062000	5857000	5855000	4703000	6553000	7079000	7588000	7957000	7778000	7488000	9161000	10390000	11098000	11899000	11864000	12051000		
Solomon Islands	SLB	11800	10300	13800	15800		5200			6600	5600	9400	11500	13700	16300	18300	20500	22900	23900	24400	20100	21600		
Sierra Leone	SLE	13800	21900	7500	12900	10600	15800	24100	28400	38100	43600	40000	33700	32200	36000	37000	39000	52000	60000	81000	44000	24000		
El Salvador	SLV	235000	283000	387000	542000	658000	795000	735000	798000	720000	951000	1127000	1279000	1339000	1385000	1091000	1150000	1184000	1255000	1283000	1345000	1402000		
San Marino	SMR	28000	30000	28000	36000	34000	43000	49000	46000	41000	42000	50000	50000	69000	115000	151000	120000	156000	139000	71000	75000	54000		
Somalia	SOM																							
Serbia	SRB								312000	339000	392000	453000	469000	696000	646000	645000	683000	764000	810000	922000	1029000	1132000		
Sub-Saharan Africa (excluding high income)	SSA	12939143.2	14727000.37	14677965.94	16662988.59	17330292.68	17592177.2	18137820.52	19439040.59	20385674.18	21474891.11	23677284.97	26918774.86	29740993.48	30435745.5	28171920.31	31276319.76	32900875.28	34031516.68	35199304.14	36393096.7	36550534.1		
South Sudan	SSD																							
Sub-Saharan Africa	SSF	13066727.23	14864887.69	14814779.99	16796975.61	17460793.83	17728034.23	18273525.53	19576646.1	20512411.79	21600359.73	23810905.66	27064562.39	29907496.98	30600178.98	28335331.94	31457313.22	33102237.7	34247947.21	35438854.22	36635580.17	36840603.59		
Small states	SST	15026901.12	15252260.14	16591607.3	17659615.66	18923933.66	20658673.13	21296298.4	21987836.19	22792049.78	25035447.25	26911384.8	28796850.17	30896866.73	33007258.77	32348149	37402607.45	33508925.57	36224332.96	38418755.75	42196936.98	44610291.61		
Sao Tome and Principe	STP	6200	6400	4800	5600	5800	7100	7500	9200	10000	10600	15800	12300	11800	14500	15200	8000	12200						
Suriname	SUR	43000	53000	61000	55000	57000	57000	54000	60000	82000	138000	161000	154000	167000	151000	151000	205000	220000	240000	249000	252000	228000		
Slovak Republic	SVK	903000	951000	814000	896000	975000	1053000	1219000	1399000	1387000	1401000	1515000	1612000	1685000	1767000	1298000	1327000	1460000	1528000	1670000	1475000	1721000		
Slovenia	SVN	732000	832000	974000	977000	884000	1090000	1219000	1302000	1373000	1499000	1555000	1617000	1751000	1958000	1824000	1869000	2037000	2156000	2259000	2411000	2707000		
Sweden	SWE	2310000	2376000	2388000	2573000	2595000	3828000	4108000	4276000	4268000	4676000	4883000	4729000	5224000	4555000	4899000	5183000	5222000	5146000	5229000	5660000	6482000		
Swaziland	SWZ	300000	315000	269000	284000	289000	281000	283000	256000	461000	459000	837000	873000	869000	756000	908000	868000	879000	888000	968000	939000	873000		
Sint Maarten (Dutch part)	SXM	460000	365000	439000	458000	445000	432000	403000	381000	428000	475000	468000	468000	469000	475000	440000	443000	424000	457000	467000	500000	505000		
Seychelles	SYC	121000	131000	130000	128000	125000	130000	130000	132000	122000	121000	129000	141000	161000	159000	158000	175000	194000	208000	230000	233000	276000	303000	
Syrian Arab Republic	SYR	815000	830000	891000	1267000	1386000	2100000	2192000	2661000	2598000	3399000	3571000	4231000	4158000	5430000	6092000	8546000	5070000						
Turks and Caicos Islands	TCA	79000	88000	93000	111000	121000	152000	166000	155000	164000	173000	176000	248000	265000	352000	351000	281000	354000	291700	290600	357000	386000	454000	
Chad	TCD												46000	77000	60600	70000	71000	77000	86000	100000	122000	119800		
East Asia & Pacific (IDA & IBRD countries)	TEA	43060887.94	47402777.37	48039930.02	48569690.65	54249516.24	62074180.18	67446328.55	73015626.41	64906991.2	83064002.2	89958231.57	97119400.8	108355358.7	109019662.2	107479654.2	118416110.6	126484052.2	133049086.1	139747452.2	142574464.5	151127510.4		
Europe & Central Asia (IDA & IBRD countries)	TEC	54359503.68	62561095.33	71424407.89	67608586.8	64376717.34	73755329.22	76933472.03	82880827.6	86416406.13	96763909.43	102895273	106331679.4	123014388.8	130165144.9	121011317.2	125892986.2	138941194.1	151128748.8	162162145.6	155674844.8	160558835.6		
Togo	TGO	53000	58000	92000	69000	70000	60000	57000	58000	61000	83000	81000	94000	86000	74000	150000	202000	300000	235000	327000	282000	273000		
Thailand	THA	6952000	7244000	7294000	7843000	8651000	9579000	10133000	10873000	10082000	11737000	11567000	13822000	14464000	14584000	14150000	15936000	19230000	22354000	26547000	24810000	29923000	32588000	
Tajikistan	TJK		700	2100	3200	4500	7700	5200							325000	207000	160000	183000	244000	208000	213000	414000		
Turkmenistan	TKM	218000	217000	257000	300000		3400	5200	10800	8200	14800	11600	5600	8200										
Latin America & the Caribbean (IDA & IBRD countries)	TLA	38669000	40555000	40142000	42896000	43076000	45804000	44205000	42407000	43405000	48966000	53313000	55369000	58001000	60546000	58730000	61365000	64950000	67318000	68841400	77195100	83013700		
Timor-Leste	TLS												14000	22000	36000	44000	40000	51000	58000	79000	60000	62000		
Middle East & North Africa (IDA & IBRD countries)	TMN	13620043.63	14390852.84	15707953.69	17228879.26	19831007.01	21989376.27	22092323.28	24061476.86	25477739.5	31218042.35	33198927.71	37196555.79	39883779.2	44311383.81	47052809.15	54736752.18	44260409	48031501.12	47600947.9	48099373.54	44037878.17		
Tonga	TON	29000	27000	26000	27000	31000	35000	32000	37000	40000	41000	42000	39000	46000	50000	45700	47100	46000	47400	48200	50400	53800		
South Asia (IDA & IBRD)	TSA	3809176.53	3930661.566	4161829.071	4280668.704	4529947.045	4826435.65	4486399.645	4321774.194	4966540.252	6057158.426	6366874.046	7232429.49	8067461.057	8365577.602	8065426.131	9234490.674	10392363.13	10725073.4	11682769.25	18915333.11	19195192.47		
Sub-Saharan Africa (IDA & IBRD countries)	TSS	13066727.23	14864887.69	14814779.99	16796975.61	17460793.83	17728034.23	18273525.53	19576646.1	20512411.79	21600359.73	23810905.66	27064562.39	29907496.98	30600178.98	28335331.94	31457313.22	33102237.7	34247947.21	35438854.22	36635580.17	36840603.59		
Trinidad and Tobago	TTO	260000	266000	324000	334000	358000	399000	383000	384000	409000	443000	463000	461000	449000	437000	419000	388000	431000	455000	434000	412000	440000	409000	
Tunisia	TUN	4120000	3885000	4263000	4718000	4832000	5058000	5387000	5064000	5114000	5998000	6378000	6550000	6762000	7050000	7797000	7828000	5746000	6999000	7352000	7163000	5359000		
Turkey	TUR	7083000	7966000	9040000	8960000	6893000	9586000	10783000	12790000	13341000	16826000	20273000	18916000	26122000	29792000	30187000	31364000	34654000	35698000	37795000	39811000	39478000		
Tuvalu	TUV	900	1000	1000	1000	1100	1100	1100	1300	1400	1300	1100	1100	1100	1700	1600	1700	1200	1100	1300	1400	2400		
Tanzania	TZA	285000	315000	347000	450000	564000	459000	501000	550000	552000	566000	590000	622000	692000	750000	695000	754000	843000	1043000	1063000	1113000	1104000		
Uganda	UGA	160000	174000	175000	195000	189000	193000	205000	254000	305000	512000	468000	539000	642000	844000	807000	946000	1151000	1197000	1206000	1266000	1303000		
Ukraine	UKR	3716000	3854000	7558000	6208000	4232000	6431000	9174000	10517000	12514000	15629000	17631000	18936000	23122000	25449000	20798000	21203000	21415000	23013000	24671000	12712000	12428000	13333000	
Upper middle income	UMC	107022279.4	120306028.3	123707567.8	127843574.2	133989278.1	152395800.7	159014935.4	169693630.1	165022650.9	192459399.7	205820130.6	216278745	239382250.2	248369902.8	240962793.1	258047522	276304297.5	289672461.2	301722636.3	315684818.9	328207807.1		
Uruguay	URY	2022000	2152000	2316000	2163000	2073000	1968000	1892000	1258000	1420000	1756000	1808000	1749000	1753000	1938000	2055000	2353000	2857000	2695000	2683000	2682000	2773000		
United States	USA	43318000	46489000	47767000	46377000	48509000	51238000	46927000	43581000	41218000	46086000	49206000	50977000	56135000	58007000	55103000	60010000	62821000	66657000	69995000	75022000	77510000		
Uzbekistan	UZB	92000	173000	960000	811000	487000	302000	345000	332000	231000	262000	242000	560000	903000	1069000	1215000	975000			1969000				
St. Vincent and the Grenadines	VCT	60000	58000	65000	67000	68000	73000	71000	78000	79000	87000	96000	97000	90000	84000	75000	72000	74000	74000	72000	71000	75000		
"Venezuela, RB"	VEN	700000	759000	814000	685000	587000	469000	584000	432000	337000	486000	706000	748000	756000	699000	562000	526000	595000	988000	986000	857000	789000		
British Virgin Islands	VGB	219000	244000	244000	279000	284000	272000	296000	282000	278000	304000	337000	356000	358000	346000	309000	330000	338000	351000	366000	386000	393000	406000	
Virgin Islands (U.S.)	VIR	454000	373000	393000	422000	484000	546000	527000	520000	538000	563000	594000	571000	587000	574000	563000	572000	567000	620000	590000	615000	637000		
Vietnam	VNM	1351000	1607000	1716000	1520000	1782000	2140000	2330000	2628000	2429000	2928000	3477000	3583000	4229000	4236000	3747000	5050000	6014000	6848000	7572000	7874000	7944000	10013000	
Vanuatu	VUT	44000	46000	50000	52000	51000	58000	53000	49000	50000	61000	62000	68000	81000	90500	100700	97200	94000	108200	110000	109000	90000		
World	WLD	525138403.4	555719476	585424881.9	603463797.2	628321328.5	677310864.7	677515946.6	697734296.3	688391895.5	760457364.1	807795975.4	855819925.4	918788974.8	934728048.4	895481086.3	954967210.9	995605558.7	1046157199	1096773106	1150504913	1200058481		
Samoa	WSM	68000	73000	68000	78000	85000	88000	88000	89000	92000	98000	102000	110000	117000	118000	122000	122000	121000	126000	116000	120400	128000		
Kosovo	XKX																							
"Yemen, Rep."	YEM	61000	74000	80000	88000	58000	73000	76000	98000	155000	274000	336000	1061000	948000	1023000	1028000	1025000	829000	874000	990000	1017500	366700		
South Africa	ZAF	4488000	4915000	4976000	5732000	5890000	5872000	5787000	6430000	6505000	6678000	7369000	8396000	9091000	9592000	7012000	8074000	8339000	9188000	9537000	9549000	8904000		
Zambia	ZMB	163000	264000	341000	362000	404000	457000	492000	565000	413000	515000	669000	757000	897000	812000	710000	815000	920000	859000	915000	947000	932000		
Zimbabwe	ZWE	1416000	1597000	1336000	2090000	2250000	1967000	2217000	2041000	2256000	1854000	1559000	2287000	2506000	1956000	2017000	2239000	2423000	1794000	1833000	1880000	2057000		
