id,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Region,IncomeGroup,CountryName
TGO,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Togo
THA,1820000,1845000,1660000,1412000,1655000,1909000,2011000,2250000,2152000,2709000,3047000,3382000,4018000,3908000,4653000,5451000,5397000,5721000,5970000,6444000,6794000,,East Asia & Pacific,Upper middle income,Thailand
TJK,,,,,4100,6400,2700,,,,,,,,,,,15000,15000,19000,16000,,Europe & Central Asia,Lower middle income,Tajikistan
TKM,21000,29000,31000,357000,,78000,111000,79000,34000,32000,33000,33000,38000,,,,,,,,,,Europe & Central Asia,Upper middle income,Turkmenistan
TLS,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Lower middle income,Timor-Leste
TON,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Upper middle income,Tonga
TTO,261000,248000,,,,,,,,,,,,,270000,273000,,,,,,,Latin America & Caribbean,High income,Trinidad and Tobago
TUN,1778000,1428000,1381000,1526000,1480000,1632000,1669000,1939000,2274000,2312000,2241000,2302000,2743000,3118000,2623000,2250000,2303000,2897000,2873000,2637000,,,Middle East & North Africa,Lower middle income,Tunisia
TUR,3981000,4261000,4633000,4601000,4758000,5284000,4856000,5131000,5928000,7299000,8246000,8275000,4956000,4893000,5561000,6557000,6282000,5803000,7526000,7982000,8751000,,Europe & Central Asia,Upper middle income,Turkey
TUV,,,,1900,2200,2900,2800,2700,2600,2300,2200,2000,2400,,,,2100,,,,,,East Asia & Pacific,Upper middle income,Tuvalu
TZA,157000,148000,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income,Tanzania
UGA,,,148000,241000,327000,153000,152000,184000,189000,231000,189000,254000,272000,337000,311000,324000,367000,382000,378000,511000,523000,,Sub-Saharan Africa,Low income,Uganda
UKR,6552000,6004000,9632000,7773000,7399000,13422000,14849000,14729000,14795000,15588000,16454000,16875000,17335000,15499000,15334000,17180000,19773000,21433000,23761000,22438000,23142000,24668000,Europe & Central Asia,Lower middle income,Ukraine
URY,,,562000,654000,778000,667000,531000,530000,495000,569000,658000,666000,635000,734000,826000,1027000,1534000,1816000,2281000,2396000,2217000,,Latin America & Caribbean,High income,Uruguay
USA,51285000,52999000,53229000,55696000,57222000,61327000,59442000,58066000,56250000,61809000,63503000,63663000,64049000,63653000,62051000,61061000,59209000,60697000,61874000,68176000,73453000,,North America,High income,United States
UZB,,,246000,247000,202000,217000,183000,264000,400000,455000,572000,893000,1248000,1150000,1317000,1610000,,,,,,,Europe & Central Asia,Lower middle income,Uzbekistan
VCT,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,Upper middle income,St. Vincent and the Grenadines
VEN,534000,511000,460000,752000,754000,954000,933000,881000,832000,816000,1067000,1095000,1410000,1745000,1651000,1477000,1719000,1734000,1931000,1589000,1539000,,Latin America & Caribbean,Upper middle income,"Venezuela, RB"
VGB,79000,,,,,,,,,,,171000,166000,166000,140000,151000,145000,139000,,,,,Latin America & Caribbean,High income,British Virgin Islands
VIR,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,High income,Virgin Islands (U.S.)
VNM,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Lower middle income,Vietnam
VUT,11000,11000,11000,12000,12000,12000,11000,11000,12000,13000,14000,15000,16000,19000,20000,21000,22000,23000,26000,26000,27000,,East Asia & Pacific,Lower middle income,Vanuatu
WSM,,,,,58000,61000,56000,53000,51000,54000,52000,51000,52000,53000,43000,56000,57000,56000,51000,57000,54000,,East Asia & Pacific,Upper middle income,Samoa
XKX,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,Lower middle income,Kosovo
YEM,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,Lower middle income,"Yemen, Rep."
ZAF,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Upper middle income,South Africa
ZMB,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Lower middle income,Zambia
ZWE,256000,69000,123000,213000,331000,,,,386000,498000,474000,541000,547000,593000,631000,650000,693000,720000,757000,792000,824000,,Sub-Saharan Africa,Low income,Zimbabwe
